timestamp,value
1626278400000,926056363266.0
1626278430000,926220181253.0
1626278460000,926606828109.0
1626278490000,926804204027.0
1626278520000,926832933608.0
1626278550000,926832933608.0
1626278580000,927095091880.0
1626278610000,927340443364.0
1626278640000,927607722342.0
1626278670000,927917820675.0
1626278700000,927917820675.0
1626278730000,927917820675.0
1626278760000,927917820675.0
1626278790000,927917820675.0
1626278820000,927917820675.0
1626278850000,927917820675.0
1626278880000,928143349657.0
1626278910000,928745796523.0
1626278940000,929205545997.0
1626278970000,930026831389.0
1626279000000,930611716631.0
1626279030000,930974706588.0
1626279060000,931258097905.0
1626279090000,931662058138.0
1626279120000,932049073899.0
1626279150000,932540004040.0
1626279180000,932876869172.0
1626279210000,933232267250.0
1626279240000,933811302417.0
1626279270000,934659964225.0
1626279300000,934991184777.0
1626279330000,935308454351.0
1626279360000,935626284888.0
1626279390000,935797473104.0
1626279420000,935986540302.0
1626279450000,936130711637.0
1626279480000,936273998824.0
1626279510000,936275482696.0
1626279540000,936275482696.0
1626279570000,936315614134.0
1626279600000,936445475702.0
1626279630000,936705507616.0
1626279660000,937008330397.0
1626279690000,937416322826.0
1626279720000,937680816291.0
1626279750000,938178806389.0
1626279780000,938402979081.0
1626279810000,938671521924.0
1626279840000,938900618276.0
1626279870000,939128146486.0
1626279900000,939221768571.0
1626279930000,939221768571.0
1626279960000,939221768571.0
1626279990000,939221768571.0
1626280020000,939221838718.0
1626280050000,939221838718.0
1626280080000,939221838718.0
1626280110000,939221838718.0
1626280140000,939221838718.0
1626280170000,939221838718.0
1626280200000,939221838718.0
1626280230000,939221838718.0
1626280260000,939221838718.0
1626280290000,939221838718.0
1626280320000,939221838718.0
1626280350000,939221838718.0
1626280380000,939221838718.0
1626280410000,939221838718.0
1626280440000,939221838718.0
1626280470000,939221838718.0
1626280500000,939257827131.0
1626280530000,939421553159.0
1626280560000,939453201358.0
1626280590000,939453201358.0
1626280620000,939453201358.0
1626280650000,939453201358.0
1626280680000,939453201358.0
1626280710000,939453201358.0
1626280740000,939453201358.0
1626280770000,939453201358.0
1626280800000,939453201358.0
1626280830000,939453201358.0
1626280860000,939453201358.0
1626280890000,939453201358.0
1626280920000,939453201358.0
1626280950000,939453201358.0
1626280980000,939453201358.0
1626281010000,939453201358.0
1626281040000,939453201358.0
1626281070000,939453201358.0
1626281100000,939453201358.0
1626281130000,939453201358.0
1626281160000,939453201358.0
1626281190000,939453201358.0
1626281220000,939453201358.0
1626281250000,939453201358.0
1626281280000,939453201358.0
1626281310000,939453201358.0
1626281340000,939453201358.0
1626281370000,939453201358.0
1626281400000,939453201358.0
1626281430000,939453201358.0
1626281460000,939453201358.0
1626281490000,939453201358.0
1626281520000,939453201358.0
1626281550000,939453201358.0
1626281580000,939453201358.0
1626281610000,939453201358.0
1626281640000,939613399293.0
1626281670000,939699114236.0
1626281700000,939923157089.0
1626281730000,939968494429.0
1626281760000,939968494429.0
1626281790000,939968494429.0
1626281820000,939968494429.0
1626281850000,939968494429.0
1626281880000,939968494429.0
1626281910000,939968494429.0
1626281940000,939968494429.0
1626281970000,939968494429.0
1626282000000,939968494429.0
1626282030000,939968494429.0
1626282060000,939968561934.0
1626282090000,939968561934.0
1626282120000,939968561934.0
1626282150000,939968561934.0
1626282180000,939968561934.0
1626282210000,939968561934.0
1626282240000,939968561934.0
1626282270000,939968561934.0
1626282300000,939968561934.0
