,timestamp,value,label,label1
114,2019-11-16 23:30:00,72.0,0,1
115,2019-11-16 23:35:00,71.0,0,1
116,2019-11-16 23:40:00,72.66666666666667,0,1
117,2019-11-16 23:45:00,74.0,0,1
118,2019-11-16 23:50:00,73.0,0,1
119,2019-11-16 23:55:00,74.0,0,1
120,2019-11-17 00:00:00,72.0,0,1
121,2019-11-17 00:05:00,68.5,0,1
122,2019-11-17 00:10:00,69.0,0,1
123,2019-11-17 00:15:00,70.5,0,1
124,2019-11-17 00:20:00,71.33333333333333,0,1
125,2019-11-17 00:25:00,71.0,0,1
126,2019-11-17 00:30:00,69.33333333333333,0,1
127,2019-11-17 00:35:00,68.5,0,1
128,2019-11-17 00:40:00,70.0,0,1
129,2019-11-17 00:45:00,71.0,0,1
130,2019-11-17 00:50:00,69.33333333333333,0,1
131,2019-11-17 00:55:00,69.0,0,1
132,2019-11-17 01:00:00,69.33333333333333,0,1
133,2019-11-17 01:05:00,68.0,0,1
134,2019-11-17 01:10:00,65.0,0,1
135,2019-11-17 01:15:00,69.0,0,1
136,2019-11-17 01:20:00,67.66666666666667,0,1
137,2019-11-17 01:25:00,67.0,0,1
138,2019-11-17 01:30:00,69.33333333333333,0,1
139,2019-11-17 01:35:00,66.0,0,1
140,2019-11-17 01:40:00,68.0,0,1
141,2019-11-17 01:45:00,67.5,0,1
142,2019-11-17 01:50:00,67.0,0,1
143,2019-11-17 01:55:00,67.0,0,1
144,2019-11-17 02:00:00,67.02380952380952,0,1
145,2019-11-17 02:05:00,67.04761904761905,0,1
146,2019-11-17 02:10:00,67.07142857142857,0,1
147,2019-11-17 02:15:00,67.0952380952381,0,1
148,2019-11-17 02:20:00,67.1190476190476,0,1
149,2019-11-17 02:25:00,67.14285714285714,0,1
150,2019-11-17 02:30:00,67.16666666666667,0,1
151,2019-11-17 02:35:00,67.19047619047619,0,1
152,2019-11-17 02:40:00,67.21428571428571,0,1
153,2019-11-17 02:45:00,67.23809523809524,0,1
154,2019-11-17 02:50:00,67.26190476190476,0,1
155,2019-11-17 02:55:00,67.28571428571429,0,1
156,2019-11-17 03:00:00,67.30952380952381,0,1
157,2019-11-17 03:05:00,67.33333333333333,0,1
158,2019-11-17 03:10:00,67.35714285714286,0,1
159,2019-11-17 03:15:00,67.3809523809524,0,1
160,2019-11-17 03:20:00,67.4047619047619,0,1
161,2019-11-17 03:25:00,67.42857142857143,0,1
162,2019-11-17 03:30:00,67.45238095238095,0,1
163,2019-11-17 03:35:00,67.47619047619048,0,1
164,2019-11-17 03:40:00,67.5,0,1
165,2019-11-17 03:45:00,67.52380952380952,0,1
166,2019-11-17 03:50:00,67.54761904761905,0,1
167,2019-11-17 03:55:00,67.57142857142857,0,1
168,2019-11-17 04:00:00,67.5952380952381,0,1
169,2019-11-17 04:05:00,67.6190476190476,0,1
170,2019-11-17 04:10:00,67.64285714285714,0,1
171,2019-11-17 04:15:00,67.66666666666667,0,1
172,2019-11-17 04:20:00,67.69047619047619,0,1
173,2019-11-17 04:25:00,67.71428571428571,0,1
174,2019-11-17 04:30:00,67.73809523809524,0,1
175,2019-11-17 04:35:00,67.76190476190476,0,1
176,2019-11-17 04:40:00,67.78571428571429,0,1
177,2019-11-17 04:45:00,67.80952380952381,0,1
178,2019-11-17 04:50:00,67.83333333333333,0,1
179,2019-11-17 04:55:00,67.85714285714286,0,1
180,2019-11-17 05:00:00,67.8809523809524,0,1
181,2019-11-17 05:05:00,67.9047619047619,0,1
182,2019-11-17 05:10:00,67.92857142857143,0,1
183,2019-11-17 05:15:00,67.95238095238095,0,1
184,2019-11-17 05:20:00,67.97619047619048,0,1
185,2019-11-17 05:25:00,68.0,0,1
186,2019-11-17 05:30:00,67.0,0,1
187,2019-11-17 05:35:00,64.0,0,1
188,2019-11-17 05:40:00,67.33333333333333,0,1
189,2019-11-17 05:45:00,68.5,0,1
190,2019-11-17 05:50:00,68.33333333333333,0,1
191,2019-11-17 05:55:00,64.5,0,1
192,2019-11-17 06:00:00,62.0,0,1
193,2019-11-17 06:05:00,64.0,0,1
194,2019-11-17 06:10:00,67.66666666666667,0,1
195,2019-11-17 06:15:00,64.0,0,1
196,2019-11-17 06:20:00,67.33333333333333,0,1
197,2019-11-17 06:25:00,66.5,0,1
198,2019-11-17 06:30:00,67.33333333333333,0,1
199,2019-11-17 06:35:00,67.0,0,1
200,2019-11-17 06:40:00,69.33333333333333,0,1
201,2019-11-17 06:45:00,67.5,0,1
202,2019-11-17 06:50:00,66.66666666666667,0,1
203,2019-11-17 06:55:00,70.5,0,1
204,2019-11-17 07:00:00,68.0,0,1
205,2019-11-17 07:05:00,68.5,0,1
206,2019-11-17 07:10:00,67.0,0,1
207,2019-11-17 07:15:00,68.0,0,1
208,2019-11-17 07:20:00,67.66666666666667,0,1
209,2019-11-17 07:25:00,67.5,0,1
210,2019-11-17 07:30:00,67.66666666666667,0,1
211,2019-11-17 07:35:00,69.0,0,1
212,2019-11-17 07:40:00,67.33333333333333,0,1
213,2019-11-17 07:45:00,71.0,0,1
214,2019-11-17 07:50:00,67.66666666666667,0,1
215,2019-11-17 07:55:00,70.5,0,1
216,2019-11-17 08:00:00,66.66666666666667,0,1
217,2019-11-17 08:05:00,69.5,0,1
218,2019-11-17 08:10:00,67.66666666666667,0,1
219,2019-11-17 08:15:00,68.5,0,1
220,2019-11-17 08:20:00,66.33333333333333,0,1
221,2019-11-17 08:25:00,69.0,0,1
222,2019-11-17 08:30:00,68.0,0,1
223,2019-11-17 08:35:00,69.0,0,1
224,2019-11-17 08:40:00,69.0,0,1
225,2019-11-17 08:45:00,70.5,0,1
226,2019-11-17 08:50:00,68.0,0,1
227,2019-11-17 08:55:00,69.5,0,1
228,2019-11-17 09:00:00,64.33333333333333,0,1
229,2019-11-17 09:05:00,67.5,0,1
230,2019-11-17 09:10:00,69.33333333333333,0,1
231,2019-11-17 09:15:00,68.5,0,1
232,2019-11-17 09:20:00,66.33333333333333,0,1
233,2019-11-17 09:25:00,69.0,0,1
234,2019-11-17 09:30:00,66.66666666666667,0,1
235,2019-11-17 09:35:00,67.5,0,1
236,2019-11-17 09:40:00,68.0,0,1
237,2019-11-17 09:45:00,70.5,0,1
238,2019-11-17 09:50:00,68.33333333333333,0,1
239,2019-11-17 09:55:00,67.0,0,1
240,2019-11-17 10:00:00,66.0,0,1
241,2019-11-17 10:05:00,66.5,0,1
242,2019-11-17 10:10:00,66.33333333333333,0,1
243,2019-11-17 10:15:00,67.5,0,1
244,2019-11-17 10:20:00,64.0,0,1
245,2019-11-17 10:25:00,66.0,0,1
246,2019-11-17 10:30:00,68.33333333333333,0,1
247,2019-11-17 10:35:00,67.5,0,1
248,2019-11-17 10:40:00,66.66666666666667,0,1
249,2019-11-17 10:45:00,66.5,0,1
250,2019-11-17 10:50:00,68.66666666666667,0,1
251,2019-11-17 10:55:00,69.5,0,1
252,2019-11-17 11:00:00,67.33333333333333,0,1
253,2019-11-17 11:05:00,67.5,0,1
254,2019-11-17 11:10:00,66.66666666666667,0,1
255,2019-11-17 11:15:00,68.5,0,1
256,2019-11-17 11:20:00,68.66666666666667,0,1
257,2019-11-17 11:25:00,69.5,0,1
258,2019-11-17 11:30:00,68.33333333333333,0,1
259,2019-11-17 11:35:00,69.0,0,1
260,2019-11-17 11:40:00,68.66666666666667,0,1
261,2019-11-17 11:45:00,68.5,0,1
262,2019-11-17 11:50:00,66.33333333333333,0,1
263,2019-11-17 11:55:00,67.0,0,1
264,2019-11-17 12:00:00,66.33333333333333,0,1
265,2019-11-17 12:05:00,65.0,0,1
266,2019-11-17 12:10:00,66.33333333333333,0,1
